file,model,p,n,rho,alpha,method,mean,se
power_nmix_p250_n120_rho0.7_b20_R20.csv,nmix,250,120,0.7,0.05,LCT-N,0.9847368421052632,0.0031923329933176633
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,-,BH,1.0,0.0
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,-,BY,0.9994736842105263,0.0003622353692693015
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,-,LCT-B,1.0,
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,-,LCT-N,1.0,0.0
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,0.05,BH,1.0,0.0
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,0.05,BY,0.9992105263157894,0.00043114632732058457
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,0.05,LCT-B,1.0,
power_nmix_p250_n120_rho0.8_b20_R20.csv,nmix,250,120,0.8,0.05,LCT-N,0.999736842105263,0.0002631578947368374
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,-,BH,0.9715789473684211,0.00811241904497885
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,-,BY,0.8613157894736843,0.023024910918757913
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,-,LCT-B,0.631578947368421,
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,-,LCT-N,0.86,0.028989895731563072
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,0.05,BH,0.9436842105263159,0.013456988443901457
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,0.05,BY,0.8273684210526315,0.02668057420299871
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,0.05,LCT-B,0.5947368421052631,
power_nmix_p250_n200_rho0.5_b20_R20.csv,nmix,250,200,0.5,0.05,LCT-N,0.8244736842105264,0.03038911521204186
power_nmix_p250_n200_rho0.6_b20_R20.csv,nmix,250,200,0.6,-,BH,0.9957894736842106,0.0020419853178927495
